127.0.0.1 - - [17/Apr/2026 01:41:17] code 404, message File not found
127.0.0.1 - - [17/Apr/2026 01:41:17] "GET /robots.txt HTTP/1.1" 404 -
127.0.0.1 - - [17/Apr/2026 01:45:52] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:46:06] code 404, message File not found
127.0.0.1 - - [17/Apr/2026 01:46:06] "GET /massing/index.html HTTP/1.1" 404 -
127.0.0.1 - - [17/Apr/2026 01:46:32] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:46:32] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:46:32] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:46:32] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:48:22] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:48:22] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:48:22] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:48:22] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:49:38] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:49:38] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:49:38] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:49:38] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:51:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:51:26] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:51:26] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:51:26] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:52:23] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:52:23] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:52:23] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:52:23] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:55:14] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:55:14] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:55:14] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:55:14] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:56:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:56:08] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:56:08] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:56:08] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:57:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:57:00] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:57:00] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:57:00] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:57:49] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:57:49] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:57:49] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 01:57:49] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:02:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:02:34] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:02:34] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:02:34] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:05:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:05:20] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:05:20] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:05:20] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:07:04] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:07:04] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:07:04] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:07:04] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:09:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:09:31] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:09:31] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:09:31] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:10:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:10:44] "GET /styles.css HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:10:44] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [17/Apr/2026 02:10:44] "GET /Fragment_Mono/FragmentMono-Regular.ttf HTTP/1.1" 200 -
